               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.029806,            0.015894,           0.0092756,             0.93177,             0.92495,             0.97644,             0.68747,            0.023094,           0.0052604,          0.00096524,            0.001387,            0.001387,            0.001387
                  89,            0.030089,            0.016856,            0.008494,              0.9286,             0.92707,             0.97417,             0.69793,            0.021902,            0.005301,          0.00092324,            0.001288,            0.001288,            0.001288
                  90,            0.030224,            0.016635,           0.0084448,             0.91877,             0.94974,             0.97534,              0.6939,            0.022705,           0.0053299,          0.00089703,            0.001189,            0.001189,            0.001189
                  91,             0.02903,            0.016676,           0.0082504,             0.92622,             0.94888,             0.97475,             0.67588,            0.022766,            0.005392,          0.00088294,             0.00109,             0.00109,             0.00109
                  92,              0.0299,              0.0169,           0.0092895,             0.92994,             0.94163,             0.97633,             0.69986,            0.021816,           0.0052061,          0.00083508,            0.000991,            0.000991,            0.000991
                  93,            0.028955,            0.016676,           0.0080802,             0.94274,              0.9339,             0.97655,             0.70274,            0.021546,           0.0052093,          0.00084976,            0.000892,            0.000892,            0.000892
                  94,            0.029199,            0.016711,           0.0079139,             0.93693,             0.93839,             0.97583,             0.70793,            0.021535,           0.0051619,          0.00083646,            0.000793,            0.000793,            0.000793
                  95,            0.028188,            0.016477,            0.008411,             0.92904,              0.9382,             0.97627,             0.71031,            0.021106,           0.0051623,          0.00082653,            0.000694,            0.000694,            0.000694
                  96,            0.027914,             0.01617,           0.0090177,             0.92751,             0.93863,             0.97509,             0.71204,            0.020981,           0.0051191,          0.00082772,            0.000595,            0.000595,            0.000595
                  97,            0.028604,            0.016394,           0.0084082,             0.93004,             0.94318,             0.97703,             0.71973,            0.020788,           0.0050898,          0.00081371,            0.000496,            0.000496,            0.000496
                  98,            0.028072,            0.016921,           0.0086417,              0.9376,             0.94329,             0.97726,             0.71767,            0.020608,            0.005072,          0.00079539,            0.000397,            0.000397,            0.000397
                  99,            0.027843,               0.016,           0.0076329,             0.93873,             0.93347,             0.97858,             0.72391,            0.020407,           0.0050571,          0.00078372,            0.000298,            0.000298,            0.000298
